date,id,jansi_type,jansi_english_name,jansi_gujarati_name,arrival,lowrate,highrate,month,year,avg_rate
2025-01-06,87709,grain,Seasmum,તલી ,0.018260869565217393,2000,2401,1,2025,0.2003856282919488
2025-01-06,87710,grain,Castor seed,એરંડા,0.00391304347826087,1100,1228,1,2025,0.1028969149736644
2025-01-06,87711,grain,Thymol,અજમો,6.521739130434783e-05,1500,1799,1,2025,0.14856094808126408
2025-01-06,87712,grain,Dil Seed,સુવા,0.00032608695652173916,999,1199,1,2025,0.09678329571106095
2025-01-06,87713,grain,Soyabin,સોયાબીન,0.02173913043478261,790,830,1,2025,0.06960120391271632
2025-01-06,87714,grain,Groundnut-Fada,સીંગફાડા,0.022173913043478263,1060,1285,1,2025,0.10369638826185101
2025-01-06,87715,grain,Sesmum-Black,કાળા તલ ,0.0026086956521739132,3350,4900,1,2025,0.3813957863054928
2025-01-06,87716,grain,Garlic,લસણ,0.01141304347826087,1501,3150,1,2025,0.21214258841234007
2025-01-06,87717,grain,Corriander,ધાણા,0.004347826086956522,920,1561,1,2025,0.11009217456734387
2025-01-06,87718,grain,Chillies,મરચા સુકા ,0.006086956521739131,1000,2455,1,2025,0.15589729119638823
2025-01-06,87719,grain,Dhani,ધાણી,0.0008695652173913044,1120,1575,1,2025,0.12015613243039878
2025-01-06,87720,grain,Variyali,વરીયાળી,0.002173913043478261,1180,1505,1,2025,0.11968585402558314
2025-01-06,87721,grain,Cummin,જીરૂ,0.022173913043478263,4100,4475,1,2025,0.3966798344620015
2025-01-06,87722,grain,Mustard,રાય,0.0032608695652173916,1050,1311,1,2025,0.10444883370955606
2025-01-06,87723,grain,Fenugreek,મેથી,0.0027173913043478264,930,1210,1,2025,0.09405568096313018
2025-01-06,87724,grain,Isabgul,ઇસબગુલ,0.0004347826086956522,1800,2100,1,2025,0.1768246802106847
2025-01-06,87725,grain,Mustard seed,રાયડો,0.005434782608695653,980,1111,1,2025,0.09175131677953348
2025-01-06,87726,grain,Guvar Bee,ગુવારનું બી,0.0008695652173913044,950,1010,1,2025,0.08559066967644846
2025-01-07,87762,grain,Cotton B.T.,કપાસ બી.ટી.,0.05,1380,1541,1,2025,0.1307844243792325
2025-01-07,87763,grain,Wheat Lokvan,ઘઉં લોકવન,0.0034782608695652175,601,641,1,2025,0.051824680210684725
2025-01-07,87764,grain,Wheat Tukda,ઘઉં ટુકડા,0.015760869565217394,588,666,1,2025,0.052389014296463504
2025-01-07,87765,grain,Jowar White,જુવાર સફેદ,0.0027173913043478264,785,900,1,2025,0.07265801354401806
2025-01-07,87766,grain,Jowar Red,જુવાર લાલ,4.347826086956522e-05,800,900,1,2025,0.07336343115124153
2025-01-07,87767,grain,Jowar Yellow,જુવાર પીળી ,8.695652173913044e-05,300,551,1,2025,0.03343679458239278
2025-01-07,87768,grain,Bajri,બાજરી,0.0002173913043478261,450,490,1,2025,0.03762227238525207
2025-01-07,87769,grain,Tuver,તુવેર,0.006521739130434783,1250,1800,1,2025,0.1368510158013544
2025-01-07,87770,grain,Gram Yellow,ચણા પીળા,0.005434782608695653,1075,1250,1,2025,0.10275583145221971
2025-01-07,87771,grain,Gram White,ચણા સફેદ,0.003695652173913044,1300,2640,1,2025,0.1787057938299473
2025-01-07,87772,grain,Urad,અડદ,0.010869565217391306,1050,1650,1,2025,0.12039127163280662
2025-01-07,87773,grain,Mung,મગ,0.010434782608695653,1250,1852,1,2025,0.13929646350639577
2025-01-07,87774,grain,Val Deshi,વાલ દેશી,0.0009782608695652175,1050,1676,1,2025,0.12161399548532732
2025-01-07,87775,grain,Choli,ચોળી,0.0014130434782608696,700,2300,1,2025,0.13449962377727612
2025-01-07,87776,grain,Math,મઠ,0.002173913043478261,950,1311,1,2025,0.09974604966139955
2025-01-07,87777,grain,Kulthi,કળથી,0.0011739130434782609,850,961,1,2025,0.07858352144469526
2025-01-07,87778,grain,Groundnut Seed,સીંગદાણા,8.695652173913044e-05,1255,1348,1,2025,0.1158295711060948
2025-01-07,87779,grain,Groundnut Big,મગફળી જાડી,0.0,880,1140,1,2025,0.08841234010534237
2025-01-07,87780,grain,Groundnut Small,મગફળી જીણી,0.0,900,1220,1,2025,0.09311512415349887
2025-01-07,87781,grain,Seasmum,તલી ,0.01565217391304348,1950,2400,1,2025,0.19798720842738898
2025-01-07,87782,grain,Castor seed,એરંડા,0.0032608695652173916,1160,1226,1,2025,0.10562452972159518
2025-01-07,87783,grain,Thymol,અજમો,6.521739130434783e-05,1680,1890,1,2025,0.16130549285176823
2025-01-07,87784,grain,Dil Seed,સુવા,2.173913043478261e-05,1265,1265,1,2025,0.11239653875094055
2025-01-07,87785,grain,Soyabin,સોયાબીન,0.016304347826086956,775,825,1,2025,0.06866064710308502
2025-01-07,87786,grain,Groundnut-Fada,સીંગફાડા,0.015217391304347827,1040,1280,1,2025,0.10252069224981189
2025-01-07,87787,grain,Sesmum-Black,કાળા તલ ,0.0017391304347826088,3400,4910,1,2025,0.38421745673438673
2025-01-07,87788,grain,Garlic,લસણ,0.013043478260869566,1960,3735,1,2025,0.261239653875094
2025-01-07,87789,grain,Corriander,ધાણા,0.0034782608695652175,915,1535,1,2025,0.10863431151241534
2025-01-07,87790,grain,Chillies,મરચા સુકા ,0.006956521739130435,900,2500,1,2025,0.15331075996990215
2025-01-07,87791,grain,Dhani,ધાણી,0.0004347826086956522,1220,1660,1,2025,0.1288562829194883
2025-01-07,87792,grain,Variyali,વરીયાળી,0.0008695652173913044,1100,1495,1,2025,0.11545334838224229
2025-01-07,87793,grain,Cummin,જીરૂ,0.02173913043478261,4130,4481,1,2025,0.3983728367193378
2025-01-07,87794,grain,Mustard,રાય,0.0032608695652173916,1050,1270,1,2025,0.10252069224981189
2025-01-07,87795,grain,Fenugreek,મેથી,0.004347826086956522,940,1250,1,2025,0.09640707298720842
2025-01-07,87796,grain,kalonji,કલોંજી,0.00010869565217391305,3574,3694,1,2025,0.3352144469525959
2025-01-07,87797,grain,Mustard seed,રાયડો,0.0010869565217391304,980,1122,1,2025,0.0922686230248307
2025-01-07,87798,grain,Guvar Bee,ગુવારનું બી,0.00015217391304347827,995,995,1,2025,0.0870015048908954
2025-01-08,87834,grain,Cotton B.T.,કપાસ બી.ટી.,0.06304347826086958,1370,1528,1,2025,0.1297027840481565
2025-01-08,87835,grain,Wheat Lokvan,ઘઉં લોકવન,0.0023913043478260873,603,638,1,2025,0.05177765237020316
2025-01-08,87836,grain,Wheat Tukda,ઘઉં ટુકડા,0.014565217391304348,608,671,1,2025,0.053564710308502635
2025-01-08,87837,grain,Jowar White,જુવાર સફેદ,0.005434782608695653,770,897,1,2025,0.07181151241534989
2025-01-08,87838,grain,Jowar Red,જુવાર લાલ,0.00010869565217391305,800,1000,1,2025,0.07806621519939805
2025-01-08,87839,grain,Jowar Yellow,જુવાર પીળી ,0.00032608695652173916,400,500,1,2025,0.03574115876598947
2025-01-08,87840,grain,Bajri,બાજરી,0.00010869565217391305,487,510,1,2025,0.040302859292701276
2025-01-08,87841,grain,Tuver,તુવેર,0.007608695652173913,1240,1812,1,2025,0.13694507148231752
2025-01-08,87842,grain,Gram Yellow,ચણા પીળા,0.007608695652173913,1050,1280,1,2025,0.10299097065462753
2025-01-08,87843,grain,Gram White,ચણા સફેદ,0.00391304347826087,1300,2600,1,2025,0.1768246802106847
2025-01-08,87844,grain,Urad,અડદ,0.006521739130434783,1100,1625,1,2025,0.12156696764484574
2025-01-08,87845,grain,Mung,મગ,0.013043478260869566,1270,1784,1,2025,0.13703912716328065
2025-01-08,87846,grain,Val Deshi,વાલ દેશી,0.0006521739130434783,1050,1560,1,2025,0.11615876598946576
2025-01-08,87847,grain,Choli,ચોળી,0.0010869565217391304,900,2390,1,2025,0.14813769751693
2025-01-08,87848,grain,Math,મઠ,0.006521739130434783,950,1308,1,2025,0.09960496613995486
2025-01-08,87849,grain,Kulthi,કળથી,0.001956521739130435,850,975,1,2025,0.07924191121143717
2025-01-08,87850,grain,Groundnut Seed,સીંગદાણા,0.00013043478260869567,1254,1280,1,2025,0.11258465011286681
2025-01-08,87851,grain,Groundnut Big,મગફળી જાડી,0.0,900,1150,1,2025,0.08982317531978931
2025-01-08,87852,grain,Groundnut Small,મગફળી જીણી,0.0,925,1230,1,2025,0.09476109857035364
2025-01-08,87853,grain,Seasmum,તલી ,0.01391304347826087,1950,2449,1,2025,0.20029157261098568
2025-01-08,87854,grain,Castor seed,એરંડા,0.0029347826086956524,1130,1228,1,2025,0.10430775018811136
2025-01-08,87855,grain,Thymol,અજમો,0.0002173913043478261,2005,2789,1,2025,0.2188675696012039
